system:index,fr,va,.geo
0_3019,0.30060914158821106,0.9503333568572998,"{""type"":""Point"",""coordinates"":[-53.856338441998545,-26.120252422287347]}"
0_3052,0.4711647033691406,1.0649558305740356,"{""type"":""Point"",""coordinates"":[28.360247673382705,-2.244720211925798]}"
0_3082,0.9787535071372986,0.4673021137714386,"{""type"":""Point"",""coordinates"":[-94.99983103859917,30.15299284435629]}"
0_3121,0.13544365763664246,1.055823564529419,"{""type"":""Point"",""coordinates"":[-40.94775920936375,-17.477387436058677]}"
0_3129,0.14538927376270294,1.4681071043014526,"{""type"":""Point"",""coordinates"":[-78.81196732969245,-6.01259864496766]}"
0_3295,1.2987273931503296,1.1638067960739136,"{""type"":""Point"",""coordinates"":[-45.80500521880425,-2.1513772805196374]}"
0_3303,0.5681293606758118,0.5650179386138916,"{""type"":""Point"",""coordinates"":[-74.9536577826372,-10.762714217490577]}"
0_3312,0.08694189786911011,0.45116084814071655,"{""type"":""Point"",""coordinates"":[-108.66749382015018,33.43018367535134]}"
0_3316,0.6348991990089417,0.831855297088623,"{""type"":""Point"",""coordinates"":[-67.4677995297167,-16.545600931082316]}"
0_3398,0.08862687647342682,0.48406627774238586,"{""type"":""Point"",""coordinates"":[-92.5140904032908,17.56698256300876]}"
0_3401,0.1650228202342987,1.2399576902389526,"{""type"":""Point"",""coordinates"":[-88.68709818139992,14.484197325196991]}"
0_3462,0.30955106019973755,0.39509159326553345,"{""type"":""Point"",""coordinates"":[-83.06271596144775,8.916087997087926]}"
0_3488,0.28421393036842346,0.3495507836341858,"{""type"":""Point"",""coordinates"":[-90.64189690510591,34.341422666492655]}"
0_3489,0.65204256772995,0.9890020489692688,"{""type"":""Point"",""coordinates"":[-50.09501465820328,0.17624457314534442]}"
0_3565,0.17965209484100342,1.5677545070648193,"{""type"":""Point"",""coordinates"":[-40.75375425825485,-5.677134709623416]}"
0_3570,0.16508714854717255,0.8628390431404114,"{""type"":""Point"",""coordinates"":[-43.016112174406196,-9.2625503118427]}"
0_3585,0.2117203176021576,0.41188713908195496,"{""type"":""Point"",""coordinates"":[-61.4774672529079,7.043964003161699]}"
0_3622,0.938338577747345,0.4954994022846222,"{""type"":""Point"",""coordinates"":[-64.34256834893027,-16.461363765679238]}"
0_3633,0.13099004328250885,1.2056337594985962,"{""type"":""Point"",""coordinates"":[-71.78891321906437,8.547417783641189]}"
0_3645,0.08044254779815674,1.325523853302002,"{""type"":""Point"",""coordinates"":[-73.17860112714051,9.790359757435327]}"
0_3668,0.5410317778587341,0.30238497257232666,"{""type"":""Point"",""coordinates"":[26.810973710245083,0.7051072969555986]}"
0_3697,0.16539767384529114,0.31506484746932983,"{""type"":""Point"",""coordinates"":[-58.173941802061876,-19.10127135241162]}"
0_3743,0.2017820179462433,1.1949535608291626,"{""type"":""Point"",""coordinates"":[-70.65624875498659,9.7368877164025]}"
0_3771,0.20419427752494812,0.9422458410263062,"{""type"":""Point"",""coordinates"":[-40.60677149666787,-8.708938292839239]}"
0_3783,0.6563971638679504,0.9953697919845581,"{""type"":""Point"",""coordinates"":[-57.29469799911744,-14.388791492884607]}"
0_3791,0.37876492738723755,0.6295992136001587,"{""type"":""Point"",""coordinates"":[-69.36103770549285,-10.365623222694014]}"
0_3830,0.3160921037197113,0.44171836972236633,"{""type"":""Point"",""coordinates"":[-100.01777670077955,19.142243967575272]}"
0_3873,0.6388732194900513,0.9123172163963318,"{""type"":""Point"",""coordinates"":[-75.95646564305498,-8.825057216946442]}"
0_3889,0.20394083857536316,1.1579089164733887,"{""type"":""Point"",""coordinates"":[-42.18575188948576,-20.68726100837161]}"
0_3918,0.6222296953201294,0.442668080329895,"{""type"":""Point"",""coordinates"":[-63.58219437746446,-17.732056561081]}"
0_3922,1.4069324731826782,1.1338595151901245,"{""type"":""Point"",""coordinates"":[-46.72689426409312,-3.9593190803333225]}"
